
2024/07/24 (10:56:12) | ===> btop++ v.1.3.2
2024/07/24 (10:56:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/24 (10:59:12) | ===> btop++ v.1.3.2
2024/07/24 (10:59:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/24 (11:00:50) | ===> btop++ v.1.3.2
2024/07/24 (11:00:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/24 (11:01:19) | ===> btop++ v.1.3.2
2024/07/24 (11:01:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/24 (11:01:33) | ===> btop++ v.1.3.2
2024/07/24 (11:01:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/30 (15:10:47) | ===> btop++ v.1.3.2
2024/07/30 (15:10:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/30 (15:11:09) | ===> btop++ v.1.3.2
2024/07/30 (15:11:09) | WARNING: Failed to set locale UTF-8 continuing anyway.
